mmsi,vessel_name,imo,call_sign,vessel_type,length,width,draft,cargo,transceiver_class
209504000,CONTSHIP ICE,IMO9517422,5BDU5,72.0,161.0,25.0,8.2,72.0,A
209513000,OCEAN PEARL,IMO9060247,C4BQ2,70.0,169.0,27.0,9.8,49.0,A
209550000,CSCL AMERICA,IMO9285990,P3XP9,70.0,334.0,42.0,14.5,71.0,A
209613000,BF LETICIA,IMO9266542,5BFY5,79.0,134.0,23.0,8.5,79.0,A
209615000,ATHENS GLORY,IMO9247766,5BFZ5,71.0,300.0,40.0,10.1,71.0,A
209641000,CAMPECHE BAY,IMO9167980,P3ZF9,70.0,89.0,12.0,4.8,79.0,A
209716000,MSC AQUARIUS,IMO9262704,5BJC5,90.0,100.0,30.0,10.7,70.0,A
209795000,SYNERGY KEELUNG,IMO9450595,5BKF5,74.0,260.0,32.0,9.5,74.0,A
209798000,SYNERGY OAKLAND,IMO9450583,5BKE5,71.0,260.0,32.0,11.7,70.0,A
209862000,WARNOW WHALE,IMO9395032,5BXD3,70.0,166.0,25.0,9.5,70.0,A
209888000,CAPE ALTIUS,IMO9848730,5BLF5,70.0,186.0,35.0,9.1,70.0,A
210080000,VIRGEN DEL CISNE,IMO9428372,5BQP5,89.0,183.0,32.0,8.0,89.0,A
210195000,CONTSHIPS STELLAR,IMO9866251,5BSS5,71.0,170.0,27.0,9.1,71.0,A
210217000,CFS WIND,IMO9366495,5BTP5,79.0,150.0,22.0,6.5,79.0,A
210303000,DOUBLE HAPPINESS,IMO0000000,5BWE5,36.0,24.0,10.0,4.0,52.0,B
210347000,UBC TAMPICO,IMO9285354,P3YN9,70.0,182.0,28.0,10.8,70.0,A
210361000,CONTSHIP EVE,IMO9449699,5BXY5,70.0,139.0,22.0,9.7,70.0,A
210684000,BLUEBILL,IMO9263306,C4FK2,70.0,199.0,23.0,11.3,70.0,A
210786000,UBC TOKYO,IMO9300752,C4DT2,70.0,182.0,28.0,10.8,77.0,A
210959000,GUADALUPE,IMO9330941,C4FR2,70.0,99.0,16.0,5.9,70.0,A
211002010,,IMO0000000,,0.0,0.0,0.0,4.0,52.0,B
211105410,KITHARA,IMO0000000,DK3756,36.0,14.0,4.0,4.0,52.0,B
211331640,SEOUL EXPRESS,IMO9193305,DHBN,70.0,294.0,32.0,13.6,79.0,A
211334250,PIA,IMO0000000,DLFZ,37.0,15.0,5.0,4.0,52.0,B
211518890,ISABEL III,IMO0000000,DH6730,36.0,12.0,6.0,4.0,52.0,B
211605910,VENTURA,IMO0000000,DPNG,36.0,17.0,8.0,4.0,52.0,B
211664910,WOFANU,,DNPH,37.0,25.0,8.0,4.0,52.0,B
211705870,LULLABYE,,DCKH2,37.0,25.0,8.0,4.0,52.0,B
211711990,MARE,IMO0000000,DB8852,36.0,14.0,7.0,4.0,52.0,B
211723180,RIPPLE,,DEBG,36.0,25.0,8.0,4.0,52.0,B
211743730,YEAR OF THE CAT,IMO0000000,DNON,36.0,20.0,10.0,4.0,52.0,B
211835930,LUNA,IMO0000000,DB3229,36.0,12.0,4.0,4.0,52.0,B
211839000,CHICAGO EXPRESS,IMO9295268,DCUJ2,70.0,336.0,42.0,14.6,79.0,A
212040000,UBC TILBURY,IMO9416721,5BXL2,70.0,182.0,28.0,10.8,77.0,A
212175000,EUROPE,IMO9285988,P3VZ9,70.0,333.0,42.0,14.5,70.0,A
212210000,ALKYONI SB,IMO9692703,5BBT4,70.0,190.0,32.0,12.7,70.0,A
212254000,ISLAND EXPRESS,IMO8716954,C4TA2,70.0,125.0,15.0,4.9,70.0,A
212259000,HALUNDER JET,IMO9281671,5BBQ4,60.0,51.0,12.0,1.8,40.0,A
212282000,KYPROS SEA,IMO9675602,5BAV4,70.0,224.0,32.0,14.4,70.0,A
212347000,HYUNDAI TOKYO,IMO9305673,5BZK3,70.0,303.0,40.0,14.0,74.0,A
212352000,CASTOR N,IMO9334349,C4TB2,70.0,220.0,32.0,12.2,71.0,A
212439000,UBC TORONTO,IMO9300764,C4FY2,70.0,182.0,28.0,10.8,70.0,A
212790000,ORIENTAL PHOENIX,IMO9194440,P3HY8,70.0,134.0,21.0,7.9,70.0,A
212960000,QUEEN B,IMO9318929,5BHY4,70.0,132.0,19.0,7.2,74.0,A
214182695,SARA EXPRESS,IMO8914142,ER2695,70.0,87.0,13.0,4.4,70.0,A
214182763,MIDNIGHT REIGN,IMO9273521,ER2763,70.0,66.0,14.0,3.4,70.0,A
214182782,BELEN,IMO9196230,ER2782,70.0,90.0,14.0,4.5,70.0,A
215000629,LA DATCHA,IMO0000000,9HB5359,37.0,25.0,6.0,4.0,52.0,B
215077000,JS INEOS MARLIN,IMO9799379,9HA4949,89.0,232.0,36.0,8.0,89.0,A
215105000,CELEBRITY APEX,IMO9838383,9HA4960,60.0,306.0,50.0,8.3,60.0,A
215137000,CMA CGM J. MADISON,IMO9780897,9HA4975,71.0,366.0,48.0,11.6,71.0,A
215154000,CMA CGM CORTE REAL,IMO9454400,9HA4987,71.0,366.0,52.0,13.9,71.0,A
215164000,CMA CGM ANDROMEDA,IMO9410727,9HA4989,71.0,364.0,46.0,13.6,71.0,A
215219000,CMA CGM VON HUMBOLDT,IMO9454448,9HA5017,71.0,396.0,54.0,12.0,71.0,A
215225000,CMA CGM CENTAURUS,IMO9410777,9HA5020,71.0,364.0,46.0,13.4,71.0,A
215287000,VILAMOURA,IMO9529293,9HA2697,80.0,274.0,48.0,17.0,89.0,A
215347000,CMA CGM PANAMA,IMO9839923,9HA5074,71.0,366.0,51.0,14.5,71.0,A
215390000,ECE NUR BAYRAKTAR,IMO9480473,9HA2719,70.0,195.0,32.0,13.0,79.0,A
215464000,MISS MARIAROSARIA,IMO9528392,9HA2737,80.0,183.0,32.0,13.2,80.0,A
215478000,ALESSANDRO D P,IMO9384162,9HA5130,80.0,130.0,24.0,6.3,80.0,A
215487000,PS TOKYO,IMO9424649,9HA5135,89.0,180.0,32.0,8.7,89.0,A
215539000,BALGARKA,IMO9158159,9HRD7,70.0,186.0,30.0,11.5,70.0,A
215561000,VIRGO,IMO9430765,9HA5181,71.0,265.0,32.0,11.3,71.0,A
215583000,COBIA LNG,IMO9869306,9HA5192,80.0,299.0,46.0,9.5,80.0,A
215590000,CENTENNIAL MATSUYAMA,IMO9367736,9HA5197,89.0,182.0,32.0,7.5,80.0,A
215596000,LADY 8,,9HB7065,36.0,29.0,7.0,3.5,36.0,A
215639000,AOM ELENA,IMO9414888,9HA5220,70.0,255.0,43.0,7.4,70.0,A
215685000,HELLAS DIANA,IMO9872987,9HA5246,80.0,299.0,46.0,11.5,80.0,A
215798000,RIVERSIDE,IMO9412464,9HA5289,80.0,250.0,44.0,13.0,80.0,A
215801000,ATLANTIC SUN,IMO9670614,9HA5292,71.0,295.0,37.0,10.4,71.0,A
215804000,ATLANTIC SKY,IMO9670602,9HA5293,70.0,296.0,37.0,10.5,70.0,A
215832000,MASQUENADA,IMO9450246,9HA5306,37.0,51.0,11.0,3.2,37.0,A
215869000,SEASTAR VALIANT,IMO9462768,9HA5342,79.0,180.0,30.0,6.5,79.0,A
215896000,BAVARIA,IMO9113446,9HA2804,70.0,159.0,24.0,10.2,80.0,A
215936000,EUROSAILOR,IMO9895915,9HA5376,80.0,183.0,32.0,11.6,80.0,A
218158000,BREMEN EXPRESS,IMO9343728,DGZL,70.0,335.0,42.0,14.5,71.0,A
218427000,SHANGHAI EXPRESS,IMO9501368,DJBF2,71.0,366.0,48.0,14.8,71.0,A
218441000,MSC LIVORNO,IMO9461427,DIGY2,71.0,366.0,51.0,13.5,71.0,A
218474000,ESSEN EXPRESS,IMO9501370,DCQP2,70.0,366.0,48.0,15.5,72.0,A
218643000,SANTA LORETTA,IMO9290567,DFDH2,70.0,336.0,45.0,15.0,71.0,A
218650000,MSC CHICAGO,IMO9290555,DFDG2,70.0,336.0,45.0,15.0,70.0,A
218774000,HAMBURG EXPRESS,IMO9461051,DFKM2,70.0,366.0,48.0,15.5,72.0,A
218776000,NEW YORK EXPRESS,IMO9501332,DIXJ2,70.0,366.0,48.0,15.5,70.0,A
219005000,NAVIGARE PACTOR,IMO9583653,OXVG2,80.0,183.0,32.0,13.2,89.0,A
219027133,ANNE METTE BULKER,IMO9544152,OZMV2,70.0,184.0,30.0,6.5,70.0,A
219027839,TORM TIMOTHY,IMO9726487,OZTX2,80.0,183.0,32.0,10.7,80.0,A
219027876,TORM RESILIENCE,IMO930458800,OZSG2,80.0,183.0,32.0,8.2,80.0,A
219028420,TORM CORRIDO,IMO9411305,OZNT2,89.0,182.0,32.0,10.8,89.0,A
219028425,TORM VOYAGER,IMO9326926,OZPM2,89.0,183.0,32.0,7.6,89.0,A
219029208,NORD AURORA,IMO9552991,OZBK2,70.0,229.0,32.0,13.5,70.0,A
219086000,SANTA ROSA,IMO9430363,OXMP2,74.0,300.0,43.0,12.4,74.0,A
219149000,NORD STINGRAY,IMO9419735,OXQM2,80.0,183.0,32.0,11.2,80.0,A
219151000,NORDIC ANN,IMO9422665,OYCZ2,82.0,134.0,22.0,8.7,82.0,A
219153000,NORDIC MARI,IMO9422677,OYDF2,80.0,146.0,24.0,10.0,80.0,A
219155000,MAERSK EVORA,IMO9458080,OXVS2,70.0,366.0,48.0,15.5,71.0,A
219227000,TORM TORINO,IMO9712321,OYWZ2,80.0,183.0,32.0,7.1,80.0,A
219265000,TORM STRONG,IMO9836062,OXYE2,89.0,183.0,32.0,8.0,89.0,A
219278000,HULDA MAERSK,IMO9399363,OYSK2,89.0,180.0,35.0,10.5,89.0,A
219289000,NORD GUARDIAN,IMO9448712,OZCI2,80.0,183.0,32.0,12.6,89.0,A
219310000,NORD HIMALAYA,IMO9540807,OYTE2,89.0,182.0,32.0,7.8,89.0,A
219414000,HAFNIA LUPUS,IMO9461685,OUNF2,80.0,183.0,32.0,13.0,89.0,A
219415000,TORM ALMENA,IMO9465980,OZGQ2,89.0,183.0,32.0,7.6,89.0,A
219426000,ENDELO SWAN,IMO9371725,OUYR2,80.0,99.0,15.0,6.0,80.0,A
219432000,TASING SWAN,IMO9403891,OUYQ2,80.0,129.0,19.0,8.0,80.0,A
219683000,CELTIC GAS,IMO9682265,OWQI2,80.0,159.0,26.0,11.0,80.0,A
220061000,CORNELIA MAERSK,IMO9245756,OWWS2,70.0,346.0,42.0,14.5,71.0,A
220187000,AXEL MAERSK,IMO9260419,OUUY2,70.0,352.0,42.0,15.0,71.0,A
220221000,ARTHUR MAERSK,IMO9260445,OXJH2,70.0,352.0,42.0,15.0,71.0,A
220258000,TORM ISMINI,IMO9277797,OUPT2,80.0,228.0,32.0,14.4,89.0,A
220416000,GEORG MAERSK,IMO9320257,OYGN2,70.0,366.0,42.0,15.0,71.0,A
220561000,TORM PLATTE,IMO9290660,OYNL2,80.0,183.0,32.0,12.2,80.0,A
220595000,GUNHILDE MAERSK,IMO9359026,OUJI2,70.0,366.0,42.0,15.5,71.0,A
220597000,GUTHORM MAERSK,IMO9359040,OUJN2,70.0,366.0,42.0,15.5,71.0,A
224941000,CATALUNYA SPIRIT,IMO9236420,EBZV,80.0,284.0,42.0,12.3,80.0,A
226235000,ILE DE SEIN,IMO9247039,FOUD,90.0,140.0,23.0,8.0,70.0,A
227000010,FRENCH WARSHIP,IMO9999998,,35.0,0.0,0.0,0.0,35.0,A
227081410,KEA,IMO0000000,FGH2967,36.0,13.0,4.0,4.0,52.0,B
227109660,SPIRIT OF PONTAPRETA,IMO0000000,FAA3149,36.0,14.0,8.0,4.0,52.0,B
227280290,AD HOC,,FAC3851,36.0,25.0,8.0,4.0,52.0,B
227420810,BLAKE,IMO0000000,FAD6989,36.0,10.0,4.0,4.0,52.0,B
227533980,TSANTELEINA,IMO0000000,,37.0,11.0,4.0,4.0,52.0,B
227813010,TEVA,IMO0000000,FAE7923,36.0,13.0,8.0,4.0,52.0,B
228011850,L'ENTOURAGE,IMO0000000,FAH3606,36.0,10.0,3.0,4.0,52.0,B
228078350,HAKUNA MATATA,IMO0000000,FAJ2176,36.0,15.0,7.0,4.0,52.0,B
228335900,CMA CGM TOSCA,IMO9299783,FMEL,70.0,334.0,42.0,14.5,79.0,A
228337900,CMA CGM DALILA,IMO9450624,FLSQ,70.0,334.0,42.0,15.0,73.0,A
228354600,CMA CGM RIGOLETTO,IMO9299654,FMHR,70.0,349.0,42.0,15.0,71.0,A
228408700,LNG ENDEAVOUR,IMO9893606,FMPL,80.0,293.0,46.0,9.3,80.0,A
229000625,DEA,IMO0000000,9HB6502,36.0,20.0,5.0,4.0,52.0,B
229054000,CMA CGM DUTCH HARBOR,IMO9389409,9HA5434,71.0,261.0,32.0,11.8,71.0,A
229201000,DENSA PUMA,IMO9649108,9HA3145,70.0,187.0,27.0,10.9,70.0,A
229248000,TRANSGAS FORCE,IMO9861811,9HA5313,80.0,294.0,47.0,12.1,80.0,A
229314000,BLACK PEARL II,IMO0000000,9HB8260,36.0,24.0,5.0,4.0,52.0,B
229373000,HAMPTON BRIDGE,IMO9616905,9HA3280,70.0,222.0,32.0,14.2,70.0,A
229376000,FLAG GANGOS,IMO9643908,9HA3282,70.0,189.0,32.0,12.8,70.0,A
229411000,DODO,IMO9662320,9HA3311,70.0,186.0,28.0,10.0,70.0,A
229446000,MINERVA JOY,IMO9363479,9HA3334,80.0,179.0,32.0,12.1,81.0,A
229464000,CMA CGM INTEGRITY,IMO9897781,9HA5503,70.0,366.0,51.0,14.5,70.0,A
229497000,NEXT WAVE,IMO0000000,9HB3491,37.0,32.0,7.0,4.0,52.0,B
229603000,KIRAN ISTANBUL,IMO9576973,9HA3439,70.0,199.0,32.0,13.3,79.0,A
229622000,MSC TRIESTE,IMO9484479,9HA3459,70.0,365.0,48.0,16.0,71.0,A
229626000,MSC AMALFI,IMO9605279,9HA3462,71.0,300.0,48.0,12.5,71.0,A
229645000,PENELOPE M,IMO9676228,9HA3480,80.0,120.0,19.0,8.8,80.0,A
229685000,CMA CGM APOLLON,IMO9882516,9HA5560,71.0,366.0,51.0,14.9,71.0,A
229736000,CMA CGM FIGARO,IMO9450600,9HA5577,72.0,334.0,43.0,12.9,72.0,A
229934000,CMA CGM ELBE,IMO9674529,9HA3731,70.0,299.0,48.0,14.8,79.0,A
229947000,CMA CGM LOIRE,IMO9674531,9HA3739,70.0,299.0,48.0,14.8,73.0,A
229969000,ID PIONEER,IMO9665700,9HA3761,70.0,179.0,30.0,10.2,70.0,A
231789000,LAGARFOSS,IMO9641314,OZ2187,79.0,141.0,23.0,8.7,79.0,A
232002990,MAJESTIC PRINCESS,IMO9614141,MABI4,60.0,330.0,38.0,8.5,60.0,A
232006298,BRITISH CONTRIBUTOR,IMO9766554,MAOR7,89.0,295.0,46.0,10.0,89.0,A
232006300,BRITISH ACHIEVER,IMO9766542,MAOR9,89.0,295.0,46.0,9.6,89.0,A
232006316,ATHENS STAR,IMO9298313,MAOT6,80.0,228.0,32.0,14.4,89.0,A
232007939,STENA IMPERATOR,IMO9797383,MAZS9,80.0,25.0,8.0,4.0,80.0,A
232010199,ROSE PG,IMO9799032,MBOK9,80.0,105.0,18.0,5.2,80.0,A
232010295,STENA IMPRIMIS,IMO9797395,MBPR7,82.0,183.0,32.0,8.0,82.0,A
232011910,NENNE,IMO0000000,MCBC6,36.0,0.0,0.0,4.0,52.0,B
232012229,SILVER OASIS,IMO0000000,MCDI6,36.0,15.0,5.0,4.0,52.0,B
232012490,BERGE SNAEFELL,IMO9816593,MCFG4,70.0,180.0,30.0,6.5,70.0,A
232014571,NDS EVOLUTION,,MCUQ3,36.0,25.0,12.0,2.5,36.0,A
232016369,IKIGAI,IMO0000000,MDIS4,36.0,26.0,6.0,4.0,52.0,B
232018309,RAPSCALLION,IMO0000000,MDYM3,37.0,0.0,0.0,4.0,52.0,B
232020054,CARIBE LIZA,IMO9352133,MEOE9,82.0,129.0,20.0,5.5,82.0,A
232024772,HYUNDAI EARTH,IMO9725110,MGGA4,70.0,324.0,48.0,14.9,70.0,A
232024773,HYUNDAI MARS,IMO9725122,MGGA6,74.0,324.0,48.0,14.3,70.0,A
232025247,KORU,IMO0000000,MGJP5,36.0,12.0,6.0,4.0,52.0,B
232026262,CLC LIBRA,IMO0000000,MGTT3,37.0,15.0,7.0,4.0,52.0,B
232027226,ANEMOI TENDER,IMO0000000,MHEC6,37.0,6.0,2.0,4.0,52.0,B
232030551,SEACLUSION,IMO0000000,MIEZ9,36.0,0.0,0.0,4.0,52.0,B
232031599,AMANAKI,IMO0000000,MIJN4,36.0,12.0,4.0,4.0,52.0,B
232032072,OUTTA TOUCH,IMO0000000,MILP6,37.0,32.0,9.0,4.0,52.0,B
232032105,ENERGY ARTEMIS,IMO9928750,MILT4,80.0,183.0,32.0,7.5,80.0,A
232032457,CUMBRIA,IMO9713480,MINH3,70.0,199.0,32.0,9.8,70.0,A
232033857,TAYRONA,,MITI4,37.0,40.0,8.0,3.0,37.0,A
232034962,SHABBY,IMO0000000,MIXY3,37.0,38.0,8.0,4.0,52.0,B
232038795,SUN LIFE,IMO0000000,MKGR3,37.0,23.0,6.0,4.0,52.0,B
232038796,RAUHA,IMO0000000,MKGR4,36.0,13.0,6.0,4.0,52.0,B
232039262,TIGER,IMO0000000,MKKI2,36.0,19.0,6.0,4.0,52.0,B
232039291,CRYSTAL DREAMS,IMO0000000,MKKO8,37.0,16.0,9.0,4.0,52.0,B
232039370,TOMIJEAN,IMO0000000,MKLN3,37.0,15.0,4.0,4.0,52.0,B
232039752,SWEET VIRGINIA,IMO0000000,MKOU4,37.0,26.0,6.0,4.0,52.0,B
232066000,LIBERTA SOLO SAILOR,IMO0000000,MXUZ6,36.0,12.0,4.0,4.0,52.0,B
232419000,SEVEN NAVICA,IMO9177856,MZHR7,90.0,108.0,22.0,7.2,90.0,A
232508000,PAZ,IMO8978332,MXLP9,36.0,43.0,8.0,3.0,36.0,A
233217000,ST EVAL,IMO5070127,GTSF,37.0,34.0,7.0,3.7,90.0,A
233387000,SHERGAR,,GDDX,37.0,25.0,8.0,4.0,37.0,A
233731000,MICHAELA ROSE,IMO1002756,GDQF,37.0,49.0,8.0,2.9,37.0,A
233933000,CABLE INNOVATOR,IMO9101132,MVEP4,90.0,145.0,24.0,8.5,90.0,A
235002727,ALISARA,IMO0000000,ZNQJ3,36.0,14.0,4.0,4.0,52.0,B
235022691,STRALSUND,IMO0000000,MRTF4,36.0,14.0,3.0,4.0,52.0,B
235053116,SEVEN OCEANS,IMO9358826,MQND3,90.0,157.0,28.0,7.5,70.0,A
235055089,AFTER EIGHT,IMO9457787,MRZF3,37.0,46.0,9.0,2.1,37.0,A
235072538,SEALYON,IMO9447603,2CGJ2,37.0,61.0,10.0,3.1,37.0,A
235076272,PARAMOUNT HANOVER,IMO9398723,2CWA7,80.0,249.0,44.0,14.8,80.0,A
235076274,PARAMOUNT HAMILTON,IMO9426207,2CWB2,80.0,249.0,44.0,14.8,80.0,A
235076276,PARAMOUNT HATTERAS,IMO9453975,2CWB5,80.0,249.0,44.0,14.8,80.0,A
235076282,PARAMOUNT HALIFAX,IMO9453987,2CWC2,80.0,249.0,44.0,14.8,80.0,A
235076283,PARAMOUNT HYDRA,IMO9453999,2CWC3,80.0,249.0,44.0,14.8,80.0,A
235079977,M/Y A.B.NORMAL,IMO8742719,2DLI6,37.0,28.0,6.0,3.0,37.0,A
235081787,SPEEDWELL,,2DST3,36.0,25.0,8.0,4.0,52.0,B
235082858,SPIRIT OF ENDEAVOUR,,2DXT6,37.0,25.0,8.0,4.0,52.0,B
235085199,BLUEPRINT,,2EHO2,37.0,25.0,8.0,4.0,37.0,A
235085287,FIDELIS,IMO9622291,2EHX6,70.0,55.0,11.0,2.3,37.0,A
235085999,NO BADA BEES,IMO9627186,2EKW9,37.0,38.0,8.0,2.1,37.0,A
235088016,SEANNA,IMO1011501,2ETL3,37.0,64.0,12.0,3.4,37.0,A
235095847,PAN DAI,,2GAU3,36.0,25.0,8.0,4.0,52.0,B
235096399,ASSINIE,,2GDG3,37.0,25.0,8.0,4.0,52.0,B
235099354,LOUISE,,2GPG6,36.0,25.0,8.0,4.0,52.0,B
235102349,OSAKANA,IMO9253870,2HBU5,70.0,199.0,32.0,12.3,70.0,A
235103766,ORION BAY,IMO9414474,2HHT9,70.0,178.0,28.0,9.8,70.0,A
235104697,YOLY,,2HLT8,37.0,28.0,6.0,4.0,52.0,B
235106302,BW ARIES,IMO9701786,2HSO5,80.0,225.0,36.0,12.0,80.0,A
235113768,BRITISH CAPTAIN,IMO9724685,2IYH2,80.0,25.0,8.0,4.0,89.0,A
235113778,BERGE ASAHIDAKE,IMO9713181,2IYI4,70.0,179.0,8.0,4.0,70.0,A
235116332,GYRFALCON,IMO0000000,2JJB3,37.0,23.0,6.0,4.0,52.0,B
235116535,STRANGE ATTRACTOR,,2JJW3,36.0,25.0,8.0,4.0,52.0,B
235116537,STENA BLUE SKY,IMO9315393,2JJW5,94.0,286.0,44.0,10.0,94.0,A
236111902,SANCO SWORD,IMO9662100,ZDNE7,90.0,96.0,23.0,6.5,31.0,A
236112196,M/Y DREAM,IMO0000000,ZDPS4,37.0,25.0,8.0,4.0,52.0,B
236112682,IMAGINE,IMO0000000,ZDRY8,36.0,13.0,7.0,4.0,52.0,B
236538000,SANCO SPIRIT,IMO9429936,ZDJN3,90.0,86.0,16.0,5.8,90.0,A
238045000,AP REVELIN,IMO9694696,9A6827,70.0,179.0,32.0,7.0,70.0,A
238266000,PERISTIL,IMO9519626,9AA7106,70.0,189.0,32.0,12.3,70.0,A
238297000,VERUDA,IMO9585546,9AA8040,70.0,189.0,32.0,12.3,70.0,A
240224300,PALOMETA 3,,SVA9271,37.0,20.0,10.0,1.8,37.0,A
240480000,MINERVA CLARA,IMO9297333,SXGT,80.0,243.0,42.0,14.8,80.0,A
240904000,KINAROS,IMO9405538,SVAO9,80.0,183.0,32.0,13.3,89.0,A
240941000,KRITI RUBY,IMO9391282,SVAT5,80.0,183.0,32.0,13.0,80.0,A
240975000,KIMOLOS,IMO9405540,SVAV7,80.0,183.0,32.0,13.3,80.0,A
240991000,FOURNI,IMO9405564,SVAX9,80.0,183.0,32.0,13.3,89.0,A
241075000,MAGDA P,IMO9476692,SVBE4,70.0,189.0,32.0,12.8,70.0,A
241079000,MARIA,IMO9530890,SVBE9,80.0,274.0,48.0,17.0,80.0,A
241132000,MINERVA KYTHNOS,IMO9592252,SVBI9,80.0,249.0,43.0,15.0,80.0,A
241139000,DESERT GLORY,IMO9543691,SVBJ7,70.0,193.0,32.0,13.0,70.0,A
241190000,MINERVA ZEN,IMO9410909,SVBN3,80.0,183.0,32.0,13.5,89.0,A
241256000,ANANGEL NOBILITY,IMO9593220,SVBS8,70.0,299.0,50.0,18.5,70.0,A
241313000,MAERSK EXETER,IMO9475698,SVBY3,70.0,366.0,48.0,15.5,71.0,A
241326000,SEA FALCON,IMO9346859,SVBZ6,80.0,245.0,42.0,14.9,89.0,A
241343000,MINERVA ELPIDA,IMO9440526,SVCA9,80.0,249.0,44.0,14.8,89.0,A
241409000,DILOS,IMO9711535,SVCH4,80.0,147.0,8.0,4.0,80.0,A
241473000,CHEROKEE,IMO9749491,SVCN2,80.0,274.0,8.0,4.0,80.0,A
241508000,AMFITRITI,IMO9463592,SVCP5,70.0,196.0,32.0,6.8,70.0,A
241530000,NEAPOLIS,IMO9792199,SVCR4,80.0,228.0,32.0,8.6,80.0,A
241574000,MINERVA KARTERIA,IMO9787170,SVCR9,80.0,250.0,44.0,14.6,80.0,A
241612000,CAP CORPUS CHRISTI,IMO9829813,SVDA6,80.0,277.0,48.0,10.0,80.0,A
241740000,AMAZON FORTITUDE,IMO9820544,SVDL3,80.0,228.0,40.0,9.3,80.0,A
241770000,ATLANTIC,IMO9912139,SVDL8,80.0,274.0,48.0,9.5,80.0,A
244040000,HUMBERGRACHT,IMO9433274,PBUK,70.0,138.0,21.0,6.9,70.0,A
244128000,WESTERDAM,IMO9226891,PINX,60.0,285.0,32.0,8.0,60.0,A
244128536,DJITO,IMO0000000,PI8378,36.0,16.0,5.0,4.0,52.0,B
244140580,NIEUW STATENDAM,IMO9767106,PBCO,60.0,299.0,40.0,8.2,60.0,A
244150212,ONEGO RIO,IMO9258985,PBYD,70.0,143.0,18.0,6.5,70.0,A
244170000,JAN VAN GENT,IMO9456721,PBUF,70.0,142.0,18.0,7.9,52.0,A
244170158,MOONSHADOW,IMO0000000,PD2242,36.0,16.0,5.0,4.0,52.0,B
244170635,TINN,IMO0000000,PE3978,37.0,12.0,4.0,4.0,52.0,B
244180468,ZOUTERIK,IMO0000000,PD8983,36.0,13.0,4.0,4.0,52.0,B
244266000,EGELANTIERSGRACHT,IMO9081318,PDWT,70.0,136.0,19.0,8.5,70.0,A
244340000,WESERBORG,IMO9505558,PCIZ,70.0,107.0,18.0,5.1,70.0,A
244561000,VANQUISH,IMO9375135,PHOW,70.0,99.0,15.0,5.8,79.0,A
244638000,ONEGO DEUSTO,IMO9399129,PCSO,70.0,132.0,16.0,8.2,70.0,A
244650099,FIDELIS,IMO0000000,PB2706,36.0,16.0,4.0,4.0,52.0,B
244674000,MARIETJE DEBORAH,IMO9481594,PBWB,70.0,126.0,15.0,7.0,79.0,A
244780220,TOMSKII KASTAN,IMO0000000,PB6235,36.0,15.0,5.0,4.0,52.0,B
